163,112,44,12,Iris-setosa
156,96,44,12,Iris-setosa
150,102,41,12,Iris-setosa
147,99,48,12,Iris-setosa
160,115,44,12,Iris-setosa
172,124,54,25,Iris-setosa
147,108,44,19,Iris-setosa
160,108,48,12,Iris-setosa
140,92,44,12,Iris-setosa
156,99,48,6,Iris-setosa
172,118,48,12,Iris-setosa
153,108,51,12,Iris-setosa
153,96,44,6,Iris-setosa
137,96,35,6,Iris-setosa
185,128,38,12,Iris-setosa
182,140,48,25,Iris-setosa
172,124,41,25,Iris-setosa
163,112,44,19,Iris-setosa
182,121,54,19,Iris-setosa
163,121,48,19,Iris-setosa
172,108,54,12,Iris-setosa
163,118,48,25,Iris-setosa
147,115,32,12,Iris-setosa
156,99,48,6,Iris-setosa
160,102,38,12,Iris-setosa
176,112,41,12,Iris-setosa
156,99,48,6,Iris-setosa
140,96,41,12,Iris-setosa
163,108,48,12,Iris-setosa
160,112,41,19,Iris-setosa
144,73,41,19,Iris-setosa
140,102,41,12,Iris-setosa
160,112,51,38,Iris-setosa
163,121,60,25,Iris-setosa
153,96,44,19,Iris-setosa
163,121,51,12,Iris-setosa
147,102,44,12,Iris-setosa
169,118,48,12,Iris-setosa
160,105,44,12,Iris-setosa
224,102,150,89,Iris-versicolor
204,102,144,96,Iris-versicolor
220,99,156,96,Iris-versicolor
176,73,128,83,Iris-versicolor
208,89,147,96,Iris-versicolor
182,89,144,83,Iris-versicolor
201,105,150,102,Iris-versicolor
156,76,105,64,Iris-versicolor
211,92,147,83,Iris-versicolor
166,86,124,89,Iris-versicolor
160,64,112,64,Iris-versicolor
188,96,134,96,Iris-versicolor
192,70,128,64,Iris-versicolor
195,92,150,89,Iris-versicolor
179,92,115,83,Iris-versicolor
214,99,140,89,Iris-versicolor
179,96,144,96,Iris-versicolor
185,86,131,64,Iris-versicolor
198,70,144,96,Iris-versicolor
179,80,124,70,Iris-versicolor
188,102,153,115,Iris-versicolor
195,89,128,83,Iris-versicolor
201,80,156,96,Iris-versicolor
195,89,150,76,Iris-versicolor
192,108,144,102,Iris-versicolor
214,99,150,96,Iris-versicolor
201,73,140,83,Iris-versicolor
179,96,131,83,Iris-versicolor
176,80,128,83,Iris-versicolor
176,83,140,76,Iris-versicolor
195,96,147,89,Iris-versicolor
185,83,128,76,Iris-versicolor
160,73,105,64,Iris-versicolor
179,86,134,83,Iris-versicolor
182,96,134,76,Iris-versicolor
182,92,134,83,Iris-versicolor
198,92,137,83,Iris-versicolor
163,80,96,70,Iris-versicolor
182,89,131,83,Iris-versicolor
201,105,192,160,Iris-virginica
185,86,163,121,Iris-virginica
227,96,188,134,Iris-virginica
201,92,179,115,Iris-virginica
208,96,185,140,Iris-virginica
243,96,211,134,Iris-virginica
156,80,144,108,Iris-virginica
233,92,201,115,Iris-virginica
214,80,185,115,Iris-virginica
230,115,195,160,Iris-virginica
208,102,163,128,Iris-virginica
204,86,169,121,Iris-virginica
217,96,176,134,Iris-virginica
182,80,160,128,Iris-virginica
185,89,163,153,Iris-virginica
204,102,169,147,Iris-virginica
208,96,176,115,Iris-virginica
246,121,214,140,Iris-virginica
246,83,220,147,Iris-virginica
230,96,185,102,Iris-virginica
236,89,195,121,Iris-virginica
252,121,204,128,Iris-virginica
204,89,179,140,Iris-virginica
201,89,163,96,Iris-virginica
195,83,179,89,Iris-virginica
246,96,195,147,Iris-virginica
201,108,179,153,Iris-virginica
204,99,176,115,Iris-virginica
192,96,153,115,Iris-virginica
220,99,172,134,Iris-virginica
214,99,179,153,Iris-virginica
220,99,163,147,Iris-virginica
185,86,163,121,Iris-virginica
217,102,188,147,Iris-virginica
214,105,182,160,Iris-virginica
214,96,166,147,Iris-virginica
201,80,160,121,Iris-virginica
208,96,166,128,Iris-virginica
198,108,172,147,Iris-virginica
188,96,163,115,Iris-virginica
172,96,144,96,Iris-versicolor
204,89,179,134,Iris-virginica
